Mileage;Price;PowerPs;Owners;HuTest;FirstRegistration;Color;Automatic;CubicCapacity;EmptyWeight
136330;8890;163;0;22;2006;0;2;1.796;0
210000;8690;163;0;21;2005;0;1;1.796;0
117300;8599;163;3;23;2005;3;1;1.796;1.39
171000;8500;163;4;23;2004;0;1;1.796;0
171000;8500;163;4;23;2004;0;1;1.796;0
70000;8500;193;1;0;1999;0;2;2.295;1.325
70000;8500;193;1;0;1999;0;2;2.295;1.325
78480;8398;193;0;23;2000;0;1;2.295;0
69000;8250;193;1;22;1999;0;2;2.295;1.325
69000;8250;193;1;22;1999;0;2;2.295;1.325
69000;8250;193;1;22;1999;0;2;2.295;1.325
78480;8248;193;0;23;2000;0;1;2.295;0
151117;8200;163;3;23;2004;0;1;1.998;1.365
187000;8000;272;0;0;2004;0;1;3.498;1.485
113520;7990;163;3;22;2002;0;1;1.998;1.365
133000;7990;163;0;21;2004;0;2;1.796;0
91000;7980;163;0;22;2002;0;2;1.998;0
79900;7980;136;1;0;1998;0;2;1.998;0
91000;7980;163;0;22;2002;0;2;1.998;0
79900;7980;136;1;0;1998;0;2;1.998;0
124073;7979;193;2;23;1998;3;1;2.295;0
160000;7950;163;2;22;2005;3;1;1.796;0
115127;7950;163;1;22;2004;3;2;1.796;1.39
115127;7950;163;1;22;2004;3;2;1.796;1.39
199000;7950;163;2;23;2006;1;2;1.796;1.39
138449;7950;163;0;0;2005;0;2;1.796;0
227100;7950;272;3;22;2004;1;2;3.498;1.465
115127;7950;163;1;22;2004;3;2;1.796;1.39
199000;7950;163;2;23;2006;1;2;1.796;1.39
138449;7950;163;0;0;2005;0;2;1.796;0
227100;7950;272;3;22;2004;1;2;3.498;1.465
99800;7950;163;0;23;2004;0;2;1.796;0
99800;7950;163;0;23;2004;0;2;1.796;0
138449;7950;163;0;0;2005;0;2;1.796;0
134165;7900;193;2;23;1998;0;1;2.295;1.325
132400;7900;218;0;22;2000;0;1;3.199;0
134165;7900;193;2;23;1998;0;1;2.295;1.325
134165;7900;193;2;23;1998;0;1;2.295;1.325
134165;7900;193;2;23;1998;0;1;2.295;1.325
71000;7900;136;1;22;1997;1;1;1.998;0
141000;7900;163;0;0;2002;0;1;1.998;0
220000;7900;163;0;22;2005;3;1;1.796;0
134165;7900;193;2;23;1998;0;1;2.295;1.325
71000;7900;136;1;22;1997;1;1;1.998;0
141000;7900;163;0;0;2002;0;1;1.998;0
134165;7900;193;2;23;1998;0;1;2.295;1.325
134165;7900;193;2;23;1998;0;1;2.295;1.325
152000;7900;136;2;23;1997;2;1;1.998;0
134165;7900;193;2;23;1998;0;1;2.295;1.325
98000;7900;193;2;23;1998;0;1;2.295;0
280000;7900;163;0;20;2006;3;2;1.796;0
190000;7900;163;1;21;2006;0;2;1.796;1.39
134165;7900;193;2;0;1998;0;2;2.295;1.325
280000;7900;163;0;20;2006;3;2;1.796;0
48320;7900;136;1;0;1998;0;2;1.998;1.27
190000;7900;163;1;21;2006;0;2;1.796;1.39
134165;7900;193;2;0;1998;0;2;2.295;1.325
280000;7900;163;0;20;2006;3;2;1.796;0
48320;7900;136;1;0;1998;0;2;1.998;1.27
190000;7900;163;1;21;2006;0;2;1.796;1.39
134165;7900;193;2;0;1998;0;2;2.295;1.325
280000;7900;163;0;20;2006;3;2;1.796;0
48320;7900;136;1;0;1998;0;2;1.998;1.27
97500;7900;163;3;23;2000;4;2;1.998;1.365
123000;7900;163;2;22;2005;0;2;1.796;1.39
190000;7900;163;1;21;2006;0;2;1.796;1.39
134165;7900;193;2;0;1998;0;2;2.295;1.325
280000;7900;163;0;20;2006;3;2;1.796;0
155000;7900;163;2;22;2005;2;2;1.796;1.39
134165;7900;193;2;0;1998;0;2;2.295;1.325
155000;7900;163;2;22;2005;2;2;1.796;1.39
134165;7900;193;2;0;1998;0;2;2.295;1.325
280000;7900;163;0;20;2006;3;2;1.796;0
