iter	RMSE
0	1610.953971
1	1588.311524
2	1566.638803
3	1546.76619
4	1527.790836
5	1508.595097
6	1490.837007
7	1472.874569
8	1457.107913
9	1441.55188
10	1425.730627
11	1410.221701
12	1394.945698
13	1380.369088
14	1367.924865
15	1354.662726
16	1340.822622
17	1328.92276
18	1317.603879
19	1305.482205
20	1293.298764
21	1283.470961
22	1273.096786
23	1263.212651
24	1253.074759
25	1244.111223
26	1235.966837
27	1227.211235
28	1218.921825
29	1211.672107
30	1204.576817
31	1197.509916
32	1191.598533
33	1185.728058
34	1178.250519
35	1170.591222
36	1164.419282
37	1158.572181
38	1152.995326
39	1146.364825
40	1141.013191
41	1135.513627
42	1130.43688
43	1124.386037
44	1118.775505
45	1113.506965
46	1108.669668
47	1104.274152
48	1099.750786
49	1094.916252
50	1089.915945
51	1085.225053
52	1080.279639
53	1075.202109
54	1071.24604
55	1067.535068
56	1064.104749
57	1060.235635
58	1057.521759
59	1054.515625
60	1051.092675
61	1048.441074
62	1045.59299
63	1042.11203
64	1039.502287
65	1036.82706
66	1034.440461
67	1032.058174
68	1029.002126
69	1026.248441
70	1023.384261
71	1020.27543
72	1017.521521
73	1015.825187
74	1013.105754
75	1010.380255
76	1008.130971
77	1006.028462
78	1003.740196
79	1001.870577
80	999.8788861
81	997.4431674
82	995.6421201
83	993.6486638
84	991.4885705
85	989.3967314
86	987.1914061
87	984.0433129
88	981.8135568
89	979.6624108
90	977.8257742
91	975.3589928
92	972.2948511
93	970.9290313
94	969.1194366
95	967.5678648
96	965.8914859
97	964.6033445
98	963.4540297
99	962.3964999
100	960.9792483
101	959.6422459
102	957.8402767
103	956.9083408
104	955.2071361
105	953.0882639
106	952.0024085
107	951.0091896
108	948.9302575
109	947.189939
110	944.8243208
111	943.7825957
112	941.7186314
113	940.4064674
114	937.3977051
115	936.2065078
116	935.0155987
117	932.9304501
118	931.7174894
119	930.1335554
120	928.8027648
121	927.3340163
122	925.8118508
123	924.4512015
124	922.9867402
125	920.959538
126	920.6107974
127	919.3956092
128	918.4210013
129	917.0196397
130	915.148422
131	914.0249021
132	913.1601818
133	911.7966645
134	910.0213724
135	908.8941715
136	906.4213055
137	905.7403842
138	904.2978279
139	903.3183195
140	901.8316991
141	900.5682345
142	898.5954489
143	897.0813772
144	895.5186885
145	894.7949212
146	893.7039702
147	892.319967
148	891.0395602
149	890.2984579
150	888.6301208
151	886.7704198
