iter	Passed	Remaining
0	137	1373072
1	138	694412
2	140	467584
3	141	354573
4	143	286990
5	145	242103
6	147	209890
7	148	185668
8	150	166778
9	151	151711
10	153	139292
11	155	129122
12	156	120401
13	158	112817
14	159	106390
15	161	100802
16	163	95919
17	164	91456
18	166	87419
19	168	83868
20	169	80623
21	171	77658
22	173	75137
23	174	72723
24	176	70561
25	178	68471
26	180	66488
27	181	64687
28	183	63021
29	184	61414
30	186	59882
31	187	58497
32	189	57270
33	191	56017
34	192	54842
35	194	53740
36	195	52691
37	197	51746
38	199	50834
39	200	49968
40	202	49180
41	204	48376
42	205	47682
43	207	46945
44	209	46243
45	210	45567
46	211	44889
47	213	44266
48	215	43712
49	216	43147
50	218	42597
51	219	42071
52	221	41558
53	222	41059
54	224	40609
55	226	40165
56	227	39716
57	229	39313
58	231	38934
59	232	38544
60	234	38178
61	235	37824
62	237	37490
63	239	37168
64	240	36834
65	242	36553
66	244	36249
67	246	35967
68	247	35664
69	249	35402
70	251	35120
71	252	34853
72	254	34598
73	255	34333
74	258	34167
75	259	33935
76	261	33712
77	263	33482
78	264	33258
79	266	33036
80	268	32840
81	269	32636
82	271	32467
83	273	32310
84	275	32125
85	276	31923
86	278	31727
87	280	31551
88	281	31367
89	283	31199
90	284	31020
91	286	30859
92	288	30701
93	289	30530
94	291	30388
95	293	30257
96	295	30126
97	296	30005
98	298	29856
99	300	29709
100	301	29586
101	303	29441
102	305	29331
103	307	29222
104	308	29095
105	310	28996
106	312	28885
107	314	28770
108	315	28672
109	317	28571
110	319	28475
111	321	28365
112	322	28251
113	324	28144
114	326	28042
115	327	27937
116	329	27845
117	331	27750
118	333	27654
119	334	27562
120	336	27452
121	337	27365
122	339	27284
123	341	27184
124	342	27094
125	344	26998
126	346	26918
127	348	26843
128	349	26749
129	351	26667
130	352	26579
131	354	26518
132	356	26448
133	358	26368
134	359	26283
135	361	26190
136	362	26103
137	364	26017
138	365	25940
139	367	25873
140	369	25816
141	370	25751
142	372	25685
143	374	25606
144	375	25532
145	377	25469
146	378	25401
147	380	25359
148	382	25305
149	384	25248
150	385	25125
151	386	25060
152	388	25003
153	390	24938
154	391	24886
155	393	24817
156	395	24767
157	396	24703
158	398	24658
159	399	24599
160	401	24535
161	403	24490
162	405	24444
163	406	24394
164	408	24370
165	409	24263
166	411	24238
167	413	24190
168	414	24132
169	416	24083
170	418	24033
171	419	23977
172	421	23932
173	423	23896
174	425	23860
175	426	23808
176	428	23768
177	429	23716
178	431	23674
179	433	23630
180	434	23590
181	436	23564
182	438	23525
183	440	23487
184	441	23438
185	443	23395
186	444	23348
187	446	23309
188	448	23261
189	449	23231
190	451	23189
191	453	23160
192	454	23119
193	456	23080
194	458	23036
195	459	22995
196	461	22967
197	463	22933
198	465	22905
199	466	22866
200	468	22829
201	469	22791
202	471	22756
203	473	22723
204	474	22688
205	476	22645
206	478	22625
207	480	22601
208	481	22565
209	483	22535
210	485	22501
211	486	22466
212	488	22439
213	490	22419
214	491	22390
215	493	22365
216	495	22328
217	496	22290
218	498	22249
219	499	22222
220	501	22192
221	503	22158
222	504	22124
223	506	22103
224	507	22069
225	509	22038
226	511	22007
227	512	21974
228	514	21944
229	515	21916
230	517	21883
231	519	21854
232	521	21840
233	522	21813
234	524	21788
235	526	21765
236	527	21732
237	529	21701
238	530	21673
239	532	21644
240	532	21580
241	534	21564
242	536	21537
243	538	21516
244	539	21491
245	541	21472
246	543	21442
247	544	21420
248	546	21397
249	548	21372
250	549	21341
251	551	21325
252	552	21292
